NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,430.75053450237647
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,444.0473191346922
b38a03232f43b11c9d0788abaf060f7366053b6d,600.0588840847525
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-20.009036485364845
715494628a50142ce8cb17191cfe6d0f3cae0934,537.5608989694774
e656d6bad65c93fb2880f1eba5037008c8e75774,463.6865324332936
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,517.09666004878
11539e86171bf07d3a36f09377d7f54ebcc8406a,434.8751716716415
043c544a2104aa8a9849f1a703a08d37a2f16839,464.7383356869931
76ba050e64ad100b856f0eaabd8f539d5c7dd185,450.86847570476715
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-20.009036485364845
db4da599aab5bb08dce27094a35fd3e36cd0abce,-20.009036485364845
940aede382ccb332fab15d413217695ec44ca765,446.511946132351
9ad714b116da76d878dd399d187fccc2dd13dd63,568.9048553113569
dd34464a4d780b12a089347ad580418ac57a3055,505.8017517926174
f837a4cb05a5fd59d20138182f5e8c721eadd584,462.4051654983787
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-20.009036485364845
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-20.009036485364845
8b0c675d7fde14953668269d378c588f0df0498b,-20.009036485364845
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,424.92457151717673
3d203727f27abd83b71732d88d8cb1cc099f363b,442.5714711778279
d30d31c8ff45094e9a992c63d4a6f68b245a341a,-54.072042544646365
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-20.009036485364845
cbc301183dec912f3513ca766bf03dd565f3a38f,469.7918444476963
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,635.758182202553
11282da1ee78c8db45a041db4c744e33df489df0,437.63818618220654
03c67f683a415c2ea09b582248bd4cb08528c19d,580.2877529812177
046e844fb06a07ba30b41521f0065a8d9c6e5024,418.793638945587
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,438.36062549871605
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-20.009036485364845
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-20.009036485364845
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,422.5686743345171
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,565.0120406828005
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,480.5033485254955
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,529.6821991551582
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,473.66537126872726
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,449.60588743584344
59bfa081e020013410d9f60f91813964ba749bb2,430.95223379442666
f5e069ee3bc95998464e8ff5da048b7f999921ed,448.20433242483006
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,598.7558442910656
664f44258212a1f7e4086f2b4845d586c543fa3f,471.5671182598045
265cd7befa74a9f2a198fc57baec9858075f8419,439.1983481503033
6f9ac44919bbd204e0ef15185388fd2d4bc61253,486.05287356803376
78de1ee60b55766cc3eba4089e36c57139b66ebd,448.5856585895517
24550edb10f283ef4e953fd6a8fedbfa211bd456,-20.009036485364845
1e61a474acdc043eb39a89c17fab34bd2ea1a940,432.74240832175616
940af68ded6af2875708611051aa7ff3f134d80b,479.41545762479075
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,475.78500609594454
c76ddf6e9f80984e901b12f9462a3cf029bea290,468.97204674666875
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,447.11848155108817
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,-50.91920585104896
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,-54.14695963382576
92823d467a2ced9529801e0e8a94802dd88f0c17,434.8812554302782
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,546.3388273939954
413cbb38b2e2522f8167ffb9daeac1347b281393,473.5084515795473
68985fad004092956a4b4ce94dd53dc76d07eaf7,477.91794339029565
bdca9aeb19521675af15f2c28d86f6bebc45a834,470.0866923060223
b65b19d42b7a4b644fe9f99366dcb37b120862d9,434.12266378889973
eda898aa8ec465cbac70de72ead0c6d688e5f95a,433.44304668939867
5357b6c09be4c7f3829b72f80de846a9228253cb,-20.009036485364845
8d5c4481d736f6ce27976e400f4245bf10757608,432.313125286508
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,-20.009036485364845
089613ac7dca24109f84c72a97c83b2768b1df1c,-20.009036485364845
527773409bf373301dbd835e59a263c035c043b8,-20.009036485364845
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-20.009036485364845
c4cea54435c0fd0e171eed4c215479bb3ca86113,440.94162431620884
7d5cd89c6112b9a202a025a24355135bc60848c6,466.2074837011228
b70ab62384aa80545928a311f5b5d3db2f4d87ee,529.4326135337774
c96431dd924f366d2229a7f1455388b8cd85be49,556.9132292498331
1b72da5bb82cc150ecfe71218c02f155d694230b,-20.009036485364845
e429507efe1c2680cc464481850117d17083cd88,-20.009036485364845
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,434.04878415312675
e724482370ae6126008ade80b564ad8d8a0a7cbd,446.29551081740146
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,608.537743103634
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,-20.009036485364845
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,460.2200656924333
7f898f8939ae054359f83ee154bb91bc7dd2c959,537.0396671512344
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,468.5390897678777
82e3b12c6366008fabc238f299f117074e78de5d,424.9301785490658
0d838be0e718ceb786cdb10fcc12559e00440240,479.34621500062997
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,470.6557526891961
5a9d89465845ac2d81366275cbb1a81d627efd36,-20.009036485364845
c83fe640ba466ba904ac1055e53a875289888797,443.1681163336797
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,462.29860420070247
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,418.7548956870087
328639a0c753715c30a58bae70c82f2101153eb3,443.362889677897
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,-20.009036485364845
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,511.80104769551076
f56746cc2900258507d2b32c126f8db090db856f,440.1789161249725
1a4963b5fea8bb25c67750cdafbe84b01efad177,431.1745704669893
b520c940e62f4ed684417e7eacf00d85752060da,481.13711307842135
2e170cf2651ed448991af6fc5df15167733b2d8f,479.28066123363215
6efdd93a0ae289be6bb5a400bfc1deb077d75886,431.824731574752
72ac2acc787d8cba0934cca3810ac091d792c8db,507.34204791935827
92a25eee14554806f081869cc9dac868fd1860fb,438.84936242353166
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,428.72580367644497
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,445.68152834073675
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,502.2910845265261
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,439.2883030945473
1730807e4916c5f7e8ab21e02ac5657bcea3e732,-20.009036485364845
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,458.9677558557043
1a46d99716282410d1170f0f35069b34e34415d4,466.4192255787478
0467e022da4ef897f666bc76f31e1bc8976f7e92,466.9626711602408
993aca0d5eac6741117947c82a3647102096255e,450.80309913626945
94c96ade6ade21deb080bba6aad537fc4f195d47,511.8387005628035
36bb672077a46a3e4755cef90437a616d28bdf23,439.1703477447495
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,421.3749175264884
328ca19128d276eb4fbc309c54ec7f346c803d2f,735.0391694109958
27cdb62f0a2a5467efeb30aafbf246ed2320c532,418.35509679128603
c52cae37c3653620bbec72264c502f45ca2a8671,-20.009036485364845
f9ef2695eb0986666093945894b8f2fee351bf22,476.2785897232222
2178c497293d0cab01ce74f5105b1a398fb12d8e,-20.009036485364845
e21faa0c07406dde71ec02f266b19b314ba8b0e2,-20.009036485364845
8a021391cdaac100dab56c59284bd50137a74129,524.9419951696826
12ee0df69325d97cb95404958c4acf4112aeab8a,-20.009036485364845
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,492.96255105972386
66cf0f8b5af2466f9616fd15c0c10344df84982a,-20.009036485364845
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,445.2096548246822
60edc5708acd60680891ea15379dd07c7a5924ff,-20.009036485364845
b9f786712775e0d1d735398d710b01f404c985a3,426.38556117855836
564958997e204bda06fbe90afc4722805c78a855,582.0643733379302
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,429.9048113456026
527098f4ee3ceb5c393981930d23b8fe154f4db9,-20.009036485364845
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,471.3449227643199
8296743fdd105ce9183561cf5b359b0a3781465e,434.85223027049034
a3b79e8c739832c77df2ba6bcdb23a7518155a33,-20.009036485364845
6602c7f15a1fdd082265b64976448c6809df792d,445.72535559521515
31ae66f0fe024acae4490915c348e487f2367574,500.4004334270547
81901aa980653106e64863d957387d24e2c00af3,423.63588411741114
28e10d1bd0b6effe0edd503446ebda948ad240ad,434.07081078632325
53a7ee52a87f80241e2ca13c923e06b72bf3a059,426.74580792632776
50be5f75fdaedae454b0c3d63b7277854bd08d8f,-54.10524354177255
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,-20.009036485364845
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,568.7346797316238
d1e2b5c758988b6d69e90aedab3e02cae47d61c4,-20.009036485364845
02681b5c893b94db204713cb4b20dde6fc3f2f95,512.6363676197004
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,436.57874648030736
829dd51f77f3ae74c2216de2d86139bd0a03367c,-20.009036485364845
28c6829e69879bc1d34db1cd51b89562d3cc596b,498.1657143481102
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,453.83461386992616
96715a069fbcb2e84b26a01563921962ccc4601e,-20.009036485364845
923538833160e8432636c88e8119378a43b3d766,442.8409994054333
aacb834258765a2959ee63c57d2be4923d11a696,457.92702316160273
c32e484025571dd94255a77f21de08ab8d2aaba8,474.04375570446746
d425deeec0a3c7006f14d732eff8933d5155067f,476.34554655419026
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,462.81595302438416
716a178e9a6f7791b820da77879943ac9040a547,453.5565544086499
430212cd8767ef2bff8cda0f61729203fef7523e,431.2396602321731
e97d33221238e445688a0e984778d4ecac788be2,480.7279421891256
695c9481580951d830c4431fc6c9dee778ba9ca1,-20.009036485364845
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,487.32937480466194
0411742cbb54fe1b6927b25f0bb52b885828c828,443.58222170596855
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,421.3599550808167
bc40729846bf209b06e2a9a890e01d4e6780f5b4,-20.009036485364845
e4e7a38b58319ad0a5cde4848622b21783c907e9,471.0793197095415
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,569.5964608086379
aec1b63c3f0c9554e533752d8fe138ca82101d4a,439.8822206206995
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,468.38961875106037
4b48d500ba4410546ce01f7f6d44bcbafa73994f,427.9304594757003
edf33c347c866d26872f540bcc1f6ae415f3294c,459.4643285454978
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,491.7233523076501
3a265ea6ebdc4eb2520db912adf5592f03b3d634,430.24557208875206
